row_id,ordinal,source_family,source_ref,source_row_id,claim_kind,exact_statement,source_statement_hash,source_status,terminal_status,proof_mode,proof_or_counterproof,repaired_statement,artifact_refs,evidence_refs,falsifier,dependency_closure,verification_note,article_ceiling,old_overclaim_guard,updated_at
OC042-00011-67B4E7D8CE56,11,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-CROWN-001,crown_stones,Crown-stone claims are conjectural extensions unless individually bound to a closed theorem chain.,3ab584dcfab3be1298142355a3d52db86d4e90ab763f5192af0dc04eec672f1e,EXCLUDED_FROM_CORE_AS_CONJECTURE,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A crown-stone claim is promoted while its dependency path is open.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Map each crown-stone claim to proof chain or mark conjectural/excluded.,Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582578+00:00
OC042-00012-EF5E6089CBFD,12,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-DOMAIN-001,domain_projections,"Domain projections are applications requiring local variables, constraints, operators, organization predicates, evidence, and falsifiers; they are not core validation.",27dfecd850fc6e2b8ba79916a03547919e5467a1f6ec861bc55a44d9ef7dc0c2,EXCLUDED_FROM_CORE_AS_CONJECTURE,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A projection is treated as global validation without local evidence and falsifier.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Bind each projection to local evidence or exclude from core article.,Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582629+00:00
OC042-00013-0EB34A8076AF,13,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-ARTICLE-001,article_gate,The closed 024 core is article-eligible only as a bounded axiomatic theory with explicit conjectural exclusions and no universal-law wording.,907e289105f1114715289d32cbfc3b5b1fd6bb7e7e4a42e5e2ec872da6381e6f,PROVED_THEOREM,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,The article draft uses stronger wording than the proof ledger permits.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",No promoted wording exceeds DB proof status and boundary file.,,2026-05-22T14:54:03.582682+00:00
OC042-00014-1040D4986253,14,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-DESCRIPTION,description,"A typed representation frame for a system, with named observables and admissible distinctions.",0698f22880c94df513eaa91c3b758cbb6c1ece8e5b8d0a7e67ac9f5d86e84727,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,No observables or distinctions are named.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582728+00:00
OC042-00015-BDC825CAC9A2,15,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-SYSTEM,system,The object or configuration being described under a selected description.,1baaddb99538654f48b16cf9fb5ccced2ea13e29fe8e260c3d86c5b7749c4801,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,The object boundary cannot be stated.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582768+00:00
OC042-00016-7CDFCD0CA276,16,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-STATE,state,A located configuration of a system within a description.,a71a32791e751777abd34f9790b1db81760bccb4ba502e8d6e13a23e395d96dd,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,No state comparison exists.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582808+00:00
OC042-00017-4C2BE4657882,17,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-AXIS,axis,A named dimension of variation within a description.,efbbf8194e9f24ee97324e2b79d663b70bbb7732b9170d90178ff56875229c67,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,The axis adds no distinguishable variation.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582841+00:00
OC042-00018-A41F32432560,18,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-CONTINUUM,continuum,A structured range of possible states or descriptions along one or more axes.,a0a13681ad633ede679b8952343dbbf795e53febd06029668c32de8ed4033451,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,"No ordering, adjacency, metric, topology, or transition relation is given.",Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582885+00:00
OC042-00019-6CAB72A01E00,19,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-BOUNDARY,boundary,"A rule, threshold, surface, or distinction governing separation or crossing.",c7d87fb970d480123ab7a80e6a2f528e5e6153ee5b62dc6859ab2bcacc1afb52,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,Crossing or separation criteria are absent.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582926+00:00
OC042-00020-1FA4F547377F,20,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-OPERATOR,operator,"A transformation acting on states, boundaries, axes, continua, or descriptions.",96ee34756146de70a4353da40b36c276dd54c4d3df873aa95d4cadac7c84e09d,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,Domain/codomain and preservation/loss conditions are absent.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.582966+00:00
OC042-00021-0EBBD42C95DF,21,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-CONSTRAINT,constraint,"A condition that a description, state, or transformation must satisfy.",1a91752d9d75f313eb58e6a39dd146faf5b3d47352034158772733eb604608d1,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,No failure condition exists.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.583005+00:00
OC042-00022-EC911EAA5FA2,22,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-CONTRADICTION,contradiction,An incompatibility among active constraints under the current description.,d370727bfbe836ac11f8140e2d07785a302a9a4f34444317fa78fb22cbc515b5,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,The incompatibility can be resolved inside the current description.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.583048+00:00
OC042-00023-57CE02A4C44A,23,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-RESOLUTION,resolution,A transformation or refinement that removes incompatibility without losing required organization.,2d329ea39192ad942235aa31033ee5036db5d5b85dfb6f30fa75b702ac5ded62,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,Neither preservation nor incompatibility removal is shown.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.583092+00:00
OC042-00024-437168B9811D,24,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#definitions,OC-DEF-COLLAPSE,collapse,Loss of the configuration ability to maintain relevant organization under active constraints.,c82f6b6794af27ed5511a2c2d9b335390d750540a560d3da80b46415e8287156,ACCEPTED_PRIMITIVE_WITH_CHECK,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,Loss criteria are absent.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Only the source-bound ceiling is promoted.,,2026-05-22T14:54:03.583135+00:00
