row_id,ordinal,obligation_kind,source_obligation_id,target_id,status,acquisition_status,dataset_refs,required_packet,promotion_rule,artifact_refs,updated_at
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,11,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,K12 Grand Synthesis Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,ACTIVE_DATA_ACQUISITION_REQUIRED,K1_FORMOSE_RAF_PUBLIC_DATASET,"Run a K12 synthesis packet: full graph validator, independent replay of all domain/crown packets, and article wording proof.",Formal replay and graph-wide dependency closure required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K12_Grand_Synthesis_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,12,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,K8 Technological Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K8 technology packet: artifact benchmark, logs/test cases, failure modes, acceptance thresholds, and reproducible replay.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K8_Technological_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,13,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,K9 AI-System Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K9 AI packet: eval suite, held-out tasks, tool/policy perturbations, error taxonomy, replay scripts, and acceptance gates.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K9_AI-System_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-DD-DESTRUCTION-DYNAMICS,14,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-DD-DESTRUCTION-DYNAMICS,DD_DESTRUCTION_DYNAMICS,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for Destruction Dynamics (DD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/DD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-CARMA-COMPENSATORY-MECHANISMS,15,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-CARMA-COMPENSATORY-MECHANISMS,CARMA_COMPENSATORY_MECHANISMS,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for Compensatory Adaptive Response Mechanisms (CARMA); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/CARMA Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-SIR-STATE-INVERSION-RECOVERY,16,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-SIR-STATE-INVERSION-RECOVERY,SIR_STATE_INVERSION_RECOVERY,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for State Inversion Recovery (SIR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SIR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-SMD-STABILITY-MELTDOWN-DYNAMICS,17,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-SMD-STABILITY-MELTDOWN-DYNAMICS,SMD_STABILITY_MELTDOWN_DYNAMICS,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for Stability Meltdown Dynamics (SMD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SMD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-LIFE-LIFECYCLE-INTEGRITY-FEEDBACK,18,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-LIFE-LIFECYCLE-INTEGRITY-FEEDBACK,LIFE_LIFECYCLE_INTEGRITY_FEEDBACK,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for Lifecycle Integrity Feedback (LIFE); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/LIFE Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-BRR-BOUNDARY-RESONANCE-REGULATION,19,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-BRR-BOUNDARY-RESONANCE-REGULATION,BRR_BOUNDARY_RESONANCE_REGULATION,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,Recover exact theorem statement for Boundary Resonance Regulation (BRR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/BRR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-CROWN-THEOREM-CHAIN-UCM-UNIVERSAL-CONTINUA-MECHANISM,20,crown_stone_theorem_chain,OC35-CROWN-THEOREM-CHAIN-UCM-UNIVERSAL-CONTINUA-MECHANISM,UCM_UNIVERSAL_CONTINUA_MECHANISM,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Recover exact theorem statement for Universal Continua Mechanisms (UCM, derived); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.",Recover exact theorem statement; prove theorem chain from OC core or reject with counterproof.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/Unbenanntes Dokument.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-101-H50BC388114BE,21,empirical_attack_response_mapping,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-101-H50BC388114BE,reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Map reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-102-H1DE2C883E2AA,22,empirical_attack_response_mapping,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-102-H1DE2C883E2AA,reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Map reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa.json; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
