requirement_id,lane_id,title,necessity,acceptance_criterion,source_refs,artifact_refs,current_status,blocker,allowed_wording,forbidden_wording,verification_note
TOOL-003,ESTRA_TOOLKIT,Mapper modules: variables/operators/falsifiers/evidence,required,"Runtime modules expose intake, OC variable mapping, operator mapping, falsifier generation, evidence binding, replay runner, boundary checker, and report emitter.",logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k1/contracts/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_OPERATIONAL_PROTOCOL_043.md,logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k1/contracts/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_OPERATIONAL_PROTOCOL_043.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Toolkit requirements are now concrete. 045 artifact-complete at bounded claim ceiling.,Do not call Estra Toolkit ready before module contract/tests pass.,"Consolidated module contract maps intake, question selection, variable/operator mapping, falsifier generation, evidence binding, replay, boundary check, and report emission to acceptance tests."
TOOL-004,ESTRA_TOOLKIT,Toolkit UI/API QA and no-send gates,required,"The user-facing or API workflow has QA, failure messages, no-send gates, and reproducible end-to-end examples.",logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Internal workflow spec exists. 045 artifact-complete at bounded claim ceiling.,Do not call Toolkit product-ready without current QA.,Toolkit UI/API/no-send QA is represented by reproducible acceptance scenarios and failure-message gates.
TOOL-005,ESTRA_TOOLKIT,External user tests and support model,required,"At least one bounded user workflow has acceptance test, service-level/support rules, and owner-approved release boundary.",logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/spe/state/product/OFFER_PACKAGE_CATALOG_latest.json,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Requires owner release decision and user/workflow validation.,Toolkit can remain internal/pilot-prep.,Do not sell or externally release from internal readiness.,Master and offer catalog keep external gates. 045 supplies request/decision packet only; it does not fabricate external evidence.
INST-001,INSTRUMENTAL_PROTOCOL,Domain-to-OC operational protocol,required,"Protocol maps source statement, observables, constraints, operators, falsifier, evidence ceiling, and output boundary.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_OPERATIONAL_PROTOCOL_043.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_OPERATIONAL_PROTOCOL_043.md,SATISFIED_WITH_ARTIFACTS,,OC can be used for bounded internal domain/claim analysis.,Protocol does not validate domains without evidence.,043 operational protocol exists.
INST-002,INSTRUMENTAL_PROTOCOL,Data intake and refusal conditions,required,Required and recommended EA data packages are specified with refusal/no-send conditions.,logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json,logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json,SATISFIED_WITH_ARTIFACTS,,Analysis can request a concrete input package.,Do not infer missing client facts.,EA data package and case corpus exist.
INST-003,INSTRUMENTAL_PROTOCOL,Replay and failure-mode examples,required,At least one replay/example path demonstrates success and failure/no-send behavior.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Internal replay-backed use is available.,No empirical promotion without replay/data.,040/043 bind replay and failure boundaries.
MON-001,MONOGRAPH_BOOK,Cumulative argument and chapter reader jobs,required,"Book chapters declare reader job, narrative arc, claim/evidence, limitation, and next question.",logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_MASTER_MONOGRAPH.tex,logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_MASTER_MONOGRAPH.tex; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_PUBLICATION_AND_MONOGRAPH_PACKET_045.md,SATISFIED_WITH_ARTIFACTS,,Monograph source exists as a draft corpus. 045 artifact-complete at bounded claim ceiling.,Do not call the monograph book-ready until remapped and leakage-audited.,"Monograph chapters are remapped to reader jobs, claim/evidence rows, limitations, proof appendices, and next questions."
MON-002,MONOGRAPH_BOOK,"Glossary, notation, proof/evidence appendices",required,"Definitions, notation, proof ledger, counterproofs, datasets/replays, and limitations are visible to a reader.",logion/k1/contracts/JOURNAL_GRADE_STYLE_CONTRACT_v0_1.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite,logion/k1/contracts/JOURNAL_GRADE_STYLE_CONTRACT_v0_1.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite,SATISFIED_WITH_ARTIFACTS,,Appendix material exists for a bounded monograph.,Do not omit negative results.,Proof/evidence ledgers exist.
MON-003,MONOGRAPH_BOOK,Reader-facing leakage and internal jargon audit,required,Book text contains no internal path/gate/generator leakage and translates DB status into reader language.,logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_PUBLICATION_AND_MONOGRAPH_PACKET_045.md,SATISFIED_WITH_ARTIFACTS,,Book can be prepared after audit. 045 artifact-complete at bounded claim ceiling.,Do not publish internal control prose as book prose.,Reader-facing leakage audit is run as a publishability contract; internal path/control vocabulary is forbidden in public book prose.
MON-004,MONOGRAPH_BOOK,Book release owner and rights gate,required,"Owner approves book/publication boundary, rights, acknowledgements, AI disclosure, and public/private exclusions.",logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Owner/publication rights gate is required before book release.,Private book manuscript can be prepared.,Do not publish as book before owner/release gate.,Master book keeps public release blocked. 045 supplies request/decision packet only; it does not fabricate external evidence.
PROD-001,PRODUCT_WORKFLOW,Bounded workflow spec,required,"A product workflow has inputs, outputs, QA checks, no-send gate, and non-goals.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,A bounded internal workflow exists.,Not an externally sellable product by itself.,043 workflow spec exists.
PROD-002,PRODUCT_WORKFLOW,Runtime links and executable examples,required,"Workflow rows bind to runtime nodes, simulation commands, and packet refs.",logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Product packets can be traced to runtime refs.,Do not rely on untraceable demos.,EAQ registry binds runtime/simulation/package refs.
PROD-003,PRODUCT_WORKFLOW,"QA, UX/API, failure messages, and support model",required,"Current user workflow has tested UX/API acceptance, failure messages, service boundaries, support/runbook.",logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Internal workflow can guide implementation. 045 artifact-complete at bounded claim ceiling.,Do not call product-ready until QA/support pass.,"Product workflow QA/runbook defines accepted inputs, outputs, failure messages, no-send behavior, support model, and worked packet."
PUB-001,PUBLICATION_ARTICLE,Bounded journal thesis,required,"One journal-safe thesis states OC as a bounded formal/evidence metamodel, not a total empirical law.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_JOURNAL_SENDABILITY_PACKET_043.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/OC_ABSOLUTE_PROOF_ARTICLE_BOUNDARY_042.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/OC_JOURNAL_SENDABILITY_PACKET_043.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/OC_ABSOLUTE_PROOF_ARTICLE_BOUNDARY_042.md,SATISFIED_WITH_ARTIFACTS,,Journal paper can be prepared around bounded OC thesis.,Do not submit a universal empirical proof claim.,Thesis packet and proof boundary exist.
PUB-002,PUBLICATION_ARTICLE,Current related-work and venue fit,required,A current literature and target-journal venue scan is attached with contribution boundary and citation gaps.,logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md; logion/k1/contracts/JOURNAL_GRADE_STYLE_CONTRACT_v0_1.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_PUBLICATION_AND_MONOGRAPH_PACKET_045.md,SATISFIED_WITH_ARTIFACTS,,Article is publication-preparable. 045 artifact-complete at bounded claim ceiling.,Article is not journal-sendable without current related-work/venue gate.,Current related-work and venue-fit refresh is bound with contribution boundary and citation-gap obligations before any owner-send gate.
PUB-003,PUBLICATION_ARTICLE,Theorem/evidence table and reproducibility appendix,required,"Article has exact theorem/evidence rows, formal artifacts, dataset/replay refs, and reproduction commands.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/041/crown_theorem_chain_repair/oc_crown_theorem_chain_repair_041.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/041/crown_theorem_chain_repair/oc_crown_theorem_chain_repair_041.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/formal/python/validate_042.py,SATISFIED_WITH_ARTIFACTS,,Article may cite bounded proof/evidence ledgers.,No theorem without artifact ref.,Proof/evidence DBs and validators exist.
PUB-004,PUBLICATION_ARTICLE,Reviewer attack map,required,Known reviewer attacks are represented and mapped to responses/limitations.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_REVIEWER_ATTACK_RESPONSE_MAP.tex; logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_REVIEWER_ATTACK_RESPONSE_MAP.tex,SATISFIED_WITH_ARTIFACTS,,Reviewer map can be used as support artifact.,Do not ignore known attacks.,OC 022 reviewer map exists.
PUB-005,PUBLICATION_ARTICLE,Owner-send and ethics/disclosure gate,required,Owner approves target venue/send package and disclosure/ethics requirements are checked.,logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Owner-send decision and ethics/disclosure review are external gates.,No-send draft may be prepared.,Do not send as journal submission before owner gate.,Master book retains owner/no-send control. 045 supplies request/decision packet only; it does not fabricate external evidence.
REP-001,REPUTATION_PUBLIC,Public-safe novelty statement,required,"Novelty is stated without universal overclaim, fake empirical language, or marketing certainty.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite,SATISFIED_WITH_ARTIFACTS,,"OC is a bounded, proof/evidence-ledger metamodel.",OC is not fully empirically proved across all reality.,042/043 preserve public-safe wording.
REP-002,REPUTATION_PUBLIC,Limitations and old-claim guards,required,Rejected strong formulations remain visible as guardrails.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/041/crown_theorem_chain_repair/OC_CROWN_THEOREM_CHAIN_ARTICLE_BOUNDARY_041.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/041/crown_theorem_chain_repair/OC_CROWN_THEOREM_CHAIN_ARTICLE_BOUNDARY_041.md,SATISFIED_WITH_ARTIFACTS,,Limitations can be publicly named.,Do not reintroduce old crown/domain overclaims.,041/042 guard old formulations.
SCI-001,SCIENTIFIC,Typed primitives and formal core,required,OC primitives and readiness predicates are represented in Lean or a source-bound proof ledger.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/formal/OCAbsoluteClosure/Basic.lean,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/formal/OCAbsoluteClosure/Basic.lean,SATISFIED_WITH_ARTIFACTS,,OC has a bounded formal proof ledger.,OC is not an unbounded empirical law.,042 control reports terminal rows and no bad statuses.
SCI-002,SCIENTIFIC,Central theorem/boundary and overclaim guard,required,The central OC statement is expressed with its repaired boundary and the old universal overclaim remains refuted.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/OC_ABSOLUTE_PROOF_ARTICLE_BOUNDARY_042.md,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/OC_ABSOLUTE_PROOF_ARTICLE_BOUNDARY_042.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite,SATISFIED_WITH_ARTIFACTS,,OC central claims may be stated only at 042 ceiling.,No unconditional proof across all reality.,Boundary artifact exists and is linked to DB.
