requirement_ordinal,requirement_id,source_033_row_id,requirement_kind,target_id,status,required_packet,artifact_refs
13,OC35-CROWN-THEOREM-CHAIN-DD-DESTRUCTION-DYNAMICS,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,DD_DESTRUCTION_DYNAMICS,OPEN,Recover exact theorem statement for Destruction Dynamics (DD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/DD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
14,OC35-CROWN-THEOREM-CHAIN-CARMA-COMPENSATORY-MECHANISMS,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,CARMA_COMPENSATORY_MECHANISMS,OPEN,Recover exact theorem statement for Compensatory Adaptive Response Mechanisms (CARMA); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/CARMA Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
15,OC35-CROWN-THEOREM-CHAIN-SIR-STATE-INVERSION-RECOVERY,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,SIR_STATE_INVERSION_RECOVERY,OPEN,Recover exact theorem statement for State Inversion Recovery (SIR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SIR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
16,OC35-CROWN-THEOREM-CHAIN-SMD-STABILITY-MELTDOWN-DYNAMICS,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,SMD_STABILITY_MELTDOWN_DYNAMICS,OPEN,Recover exact theorem statement for Stability Meltdown Dynamics (SMD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SMD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
17,OC35-CROWN-THEOREM-CHAIN-LIFE-LIFECYCLE-INTEGRITY-FEEDBACK,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,LIFE_LIFECYCLE_INTEGRITY_FEEDBACK,OPEN,Recover exact theorem statement for Lifecycle Integrity Feedback (LIFE); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/LIFE Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
18,OC35-CROWN-THEOREM-CHAIN-BRR-BOUNDARY-RESONANCE-REGULATION,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,BRR_BOUNDARY_RESONANCE_REGULATION,OPEN,Recover exact theorem statement for Boundary Resonance Regulation (BRR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/BRR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
19,OC35-CROWN-THEOREM-CHAIN-UCM-UNIVERSAL-CONTINUA-MECHANISM,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,UCM_UNIVERSAL_CONTINUA_MECHANISM,OPEN,"Recover exact theorem statement for Universal Continua Mechanisms (UCM, derived); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.",logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/Unbenanntes Dokument.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json
20,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-101-H50BC388114BE,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be.json
21,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-102-H1DE2C883E2AA,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa.json
22,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-103-H7C8DA88E8D20,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20.json
23,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-104-HD6AA785B8EDB,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb.json
24,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-105-H089E5B425C5B,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b.json
25,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-106-H5560DD98BEA1,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_106__h5560dd98bea1,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_106__h5560dd98bea1 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_106__h5560dd98bea1.json
26,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-107-H47DCE4B60763,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_107__h47dce4b60763,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_107__h47dce4b60763 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_107__h47dce4b60763.json
27,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-108-H2DCD9EAAB628,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_108__h2dcd9eaab628,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_108__h2dcd9eaab628 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_108__h2dcd9eaab628.json
28,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-109-HA6D8519CCBC7,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_109__ha6d8519ccbc7,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_109__ha6d8519ccbc7 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_109__ha6d8519ccbc7.json
29,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-110-H5C1A2E1A5766,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_110__h5c1a2e1a5766,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_110__h5c1a2e1a5766 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_110__h5c1a2e1a5766.json
30,OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-111-H8347273118BA,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_111__h8347273118ba,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_111__h8347273118ba to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_111__h8347273118ba.json
