unit_id,source_ref,source_content_sha256,target_hint,mapping_status
reviewer_attack_response_map__empirical_attacks__atom_122__ha3a8bff123e2,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_122__ha3a8bff123e2.json,5f5244fdac73f3337827c0e92e50c0a8ee089aa621a907744b20c7771a8bbcb4,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_123__h408472654b7a,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_123__h408472654b7a.json,48f867f7298a91ed8295aedb2277b93c4dff304826ca24fd22a679e248383a70,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_124__h07597d6fd745,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_124__h07597d6fd745.json,ae358455d5e982cca01b92a225613a61210f341ec439cc610d776d9226ffadef,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_125__h77426666b593,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_125__h77426666b593.json,fca9eed5d27d3733d081909e8bfc7b82e2425dc8bc07ff258b21f99658c555e1,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_126__h78676f77cbef,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_126__h78676f77cbef.json,f4615ba0375b329045272ca2928668777694b0280946eaf52431bb21290699b8,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_127__h6ff28784ec0a,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_127__h6ff28784ec0a.json,588ba45289f414edbdf997f3148c2af525a5a699cb06ac13db5981a97a2aab93,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_128__h6366ee6b8f34,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_128__h6366ee6b8f34.json,2a3c787529c93c96610841add5599df8dcd3573593edc9f5a7b2c466e9d35f48,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_129__h1dba08d257e1,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_129__h1dba08d257e1.json,42c55a008e12311ed8e334399537d354d4f4427fb467a0bb274da3c8bb3393a4,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_130__h79a3ae812176,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_130__h79a3ae812176.json,99240062e1eb056a9a684130c3624d361af73d40b40da6020aa9e78825c21d3b,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_131__h95fa7ef1c190,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_131__h95fa7ef1c190.json,1f6df9b70b91b893e4c2730647bd222d3497d8caf167e47458fddad1852a2cbe,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_132__h33906ab53063,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_132__h33906ab53063.json,2239087dc5fc4daa04de8f3549cdc2078d25c642ac67784e75278db1eade4984,AI_SYSTEMS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_133__h37ba508d59cd,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_133__h37ba508d59cd.json,4e806b58a198603aa82bde8dbfd69e021f5e2690ac4234c1c270b8a6bcfca933,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_134__ha256da192b9e,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_134__ha256da192b9e.json,596c88dd9616a9496f723e0483df72014b8041686268ca13e1903dca2cfe3ed3,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_135__he1b2c597aefe,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_135__he1b2c597aefe.json,03253a30b30ff21c102b3e557fac11835e12447ec00b83c930466f7e715360f8,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_136__h011c158812e5,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_136__h011c158812e5.json,7e48d2e7f42248e707784c2df70026faf70898999084e83f170a1644587e42e0,AI_SYSTEMS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_137__ha1583ab62be3,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_137__ha1583ab62be3.json,dfb1dc831fa85a63843a2cb7ecb3c12ddbb363eb2b4ab5e3c58c1d353154d585,SYSTEMS_CIVILIZATIONAL_PROJECTION,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_138__hc3e277eca806,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_138__hc3e277eca806.json,def7f01fc2fb5d0bc4361f2dab0161fc441ee06bec7dbc112e5b47f6da156d23,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_139__h318f2264ed98,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_139__h318f2264ed98.json,a55fdc4ac4c16c000f486f3ed3259c8d196e46894aaddce964904f41ff6f0f42,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_140__hfcd0e57e6c0c,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_140__hfcd0e57e6c0c.json,24091edabc667a3ea9cf18c3945dd2b9101a1abe5ee94daef51fb16a9d4d4ac9,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_141__hde60962d7772,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_141__hde60962d7772.json,ba10ff0bd308951f7136f43eb3ca75473f719cce81eb68a4a34ef532f358b1a1,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_142__h7c68d47b6883,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_142__h7c68d47b6883.json,a2f70aef7da03f76f375ccd3382612fbd914610ead6881726d635f8382735823,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
