requirement_id,requirement_ordinal,source_033_row_id,requirement_kind,target_id,status,required_packet,artifact_refs,updated_at
OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,11,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,domain_chapter_empirical_upgrade,K8 Technological Projection,OPEN,"Run a K8 technology packet: artifact benchmark, logs/test cases, failure modes, acceptance thresholds, and reproducible replay.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K8_Technological_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean,2026-05-22T11:58:14.340328+00:00
OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,12,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,domain_chapter_empirical_upgrade,K9 AI-System Projection,OPEN,"Run a K9 AI packet: eval suite, held-out tasks, tool/policy perturbations, error taxonomy, replay scripts, and acceptance gates.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K9_AI-System_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-DD-DESTRUCTION-DYNAMICS,13,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,DD_DESTRUCTION_DYNAMICS,OPEN,Recover exact theorem statement for Destruction Dynamics (DD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/DD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-CARMA-COMPENSATORY-MECHANISMS,14,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,CARMA_COMPENSATORY_MECHANISMS,OPEN,Recover exact theorem statement for Compensatory Adaptive Response Mechanisms (CARMA); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/CARMA Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-SIR-STATE-INVERSION-RECOVERY,15,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,SIR_STATE_INVERSION_RECOVERY,OPEN,Recover exact theorem statement for State Inversion Recovery (SIR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SIR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-SMD-STABILITY-MELTDOWN-DYNAMICS,16,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,SMD_STABILITY_MELTDOWN_DYNAMICS,OPEN,Recover exact theorem statement for Stability Meltdown Dynamics (SMD); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/SMD Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-LIFE-LIFECYCLE-INTEGRITY-FEEDBACK,17,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,LIFE_LIFECYCLE_INTEGRITY_FEEDBACK,OPEN,Recover exact theorem statement for Lifecycle Integrity Feedback (LIFE); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/LIFE Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-BRR-BOUNDARY-RESONANCE-REGULATION,18,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,BRR_BOUNDARY_RESONANCE_REGULATION,OPEN,Recover exact theorem statement for Boundary Resonance Regulation (BRR); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.,logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/BRR Backup.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-CROWN-THEOREM-CHAIN-UCM-UNIVERSAL-CONTINUA-MECHANISM,19,OC33-CROWN-NAMED-INVENTORY-GAP,crown_stone_theorem_chain,UCM_UNIVERSAL_CONTINUA_MECHANISM,OPEN,"Recover exact theorem statement for Universal Continua Mechanisms (UCM, derived); prove chain from OC core or reject with counterproof; add falsifier and local evidence if empirical.",logion/k0/governance/registries/CROWN_STONE_REGISTRY_v0_1.ndjson; logion/k7/inbox/corona_stones_01/CANONICAL/Unbenanntes Dokument.md; logion/k7/inbox/corona_stones_01/NORMALIZED/CLAIM_UNITS_v0_1.md; logion/k7/inbox/corona_stones_01/INVENTORY_v0_1.json,2026-05-22T11:58:14.340328+00:00
OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-101-H50BC388114BE,20,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be.json,2026-05-22T11:58:14.340328+00:00
OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-102-H1DE2C883E2AA,21,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa.json,2026-05-22T11:58:14.340328+00:00
OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-103-H7C8DA88E8D20,22,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20 to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20.json,2026-05-22T11:58:14.340328+00:00
OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-104-HD6AA785B8EDB,23,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb.json,2026-05-22T11:58:14.340328+00:00
OC35-ATTACK-RESPONSE-MAP-REVIEWER-ATTACK-RESPONSE-MAP-EMPIRICAL-ATTACKS-ATOM-105-H089E5B425C5B,24,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_mapping,reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b,OPEN,"Map reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b to a domain/crown evidence row, repaired counterevidence row, or explicit nonclaim exclusion.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b.json,2026-05-22T11:58:14.340328+00:00
